light,humidity,date,soilMoisture,battery,pressure,rain,sensorName,temperature,altitude
-1.01,-1.01,2023-05-26 08:35:27+00:00,2750.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-28 15:21:02+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-22 18:09:55+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,84.59472656,2023-05-23 06:40:38+00:00,1002.0,-1.01,896.628418,-1.01,sensorOne,18.51000023,1019.617737
-1.01,-1.01,2023-05-24 20:48:53+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-06-06 02:53:37+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,80.8828125,2023-06-05 23:25:53+00:00,9.0,-1.01,895.8501587,-1.01,sensorOne,23.39999962,1026.773926
-1.01,-1.01,2023-06-04 18:05:34+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
0.163200006,-1.01,2023-05-23 07:26:39+00:00,1145.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,80.04882813,2023-05-23 04:49:56+00:00,1159.0,-1.01,897.7626343,-1.01,sensorTwo,18.70000076,1009.197205
-1.01,-1.01,2023-05-26 06:36:15+00:00,2838.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,83.7890625,2023-05-23 08:48:23+00:00,1139.0,-1.01,895.0565796,-1.01,sensorTwo,17.55999947,1034.076416
-1.01,87.54980469,2023-05-25 17:20:04+00:00,1408.0,-1.01,895.3215332,-1.01,sensorOne,27.25,1031.637817
-1.01,56.24804688,2023-06-05 18:14:34+00:00,4095.0,-1.01,896.4389038,-1.01,sensorTwo,44.04000092,1021.359924
-1.01,82.421875,2023-05-24 18:28:00+00:00,1021.0,-1.01,895.2033081,-1.01,sensorOne,26.54999924,1032.725586
-1.01,-1.01,2023-05-26 04:37:02+00:00,2954.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,81.46679688,2023-06-06 05:08:32+00:00,1169.0,-1.01,897.7079468,-1.01,sensorTwo,19.37999916,1009.699158
-1.01,80.95703125,2023-05-25 07:30:27+00:00,1501.0,-1.01,894.1696777,-1.01,sensorTwo,18.85000038,1042.243774
-1.01,-1.01,2023-05-23 15:59:21+00:00,2726.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-23 16:59:09+00:00,2768.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,90.12207031,2023-05-25 00:25:33+00:00,1043.0,-1.01,894.7269287,-1.01,sensorOne,21.52000046,1037.111328
0.0,-1.01,2023-06-06 01:41:43+00:00,1239.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,78.15722656,2023-05-24 17:28:23+00:00,1053.0,-1.01,895.7080688,-1.01,sensorOne,28.45999908,1028.081299
700.6760864,-1.01,2023-05-25 23:05:27+00:00,1135.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-06-05 18:58:21+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-24 10:52:23+00:00,3803.0,-1.01,-1.01,29.0,sensorFour,-1.01,-1.01
-1.01,70.64941406,2023-06-05 21:27:46+00:00,0.0,-1.01,894.5728149,-1.01,sensorOne,34.16999817,1038.530518
-1.01,-1.01,2023-06-07 00:46:57+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
230.4121399,-1.01,2023-06-06 19:35:59+00:00,1259.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,69.38867188,2023-06-05 20:13:16+00:00,4095.0,-1.01,894.8248291,-1.01,sensorTwo,34.56999969,1036.209839
0.489600003,-1.01,2023-06-07 01:33:39+00:00,1262.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.163200006,-1.01,2023-05-24 09:17:21+00:00,1136.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.081600003,-1.01,2023-05-22 18:34:06+00:00,2887.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-26 01:38:15+00:00,3291.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
0.0,-1.01,2023-05-22 05:38:49+00:00,2816.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
1306.333252,-1.01,2023-05-25 21:06:19+00:00,1152.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,79.96289063,2023-06-05 23:10:56+00:00,1164.0,-1.01,895.560791,-1.01,sensorTwo,22.79999924,1029.435913
-1.01,91.19921875,2023-05-26 01:16:53+00:00,1305.0,-1.01,895.4338989,-1.01,sensorOne,21.55999947,1030.603516
-1.01,85.78613281,2023-05-23 11:38:56+00:00,1008.0,-1.01,895.6333008,-1.01,sensorOne,18.51000023,1028.769165
-1.01,-1.01,2023-05-22 05:14:55+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-23 09:01:29+00:00,2723.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,85.55664063,2023-05-23 13:38:21+00:00,1011.0,-1.01,896.9890137,-1.01,sensorOne,20.05999947,1016.303406
-1.01,58.07324219,2023-05-22 03:53:18+00:00,2657.0,-1.01,879.3535767,-1.01,sensorOne,25.92000008,1179.664429
-1.01,57.58789063,2023-05-22 03:03:15+00:00,2735.0,-1.01,879.6273193,-1.01,sensorTwo,25.62999916,1177.108276
-1.01,47.52734375,2023-06-06 17:06:45+00:00,1235.0,-1.01,896.9556274,-1.01,sensorTwo,51.36000061,1016.610352
-1.01,53.75878906,2023-05-23 19:45:31+00:00,4095.0,-1.01,895.053772,-1.01,sensorTwo,42.81000137,1034.102051
-1.01,78.05664063,2023-05-25 03:32:03+00:00,1490.0,-1.01,895.5372925,-1.01,sensorTwo,20.45999908,1029.6521
-1.01,-1.01,2023-05-23 00:04:58+00:00,3491.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-25 07:44:26+00:00,3648.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
6.110318184,-1.01,2023-05-22 19:33:28+00:00,2896.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
39.95266724,-1.01,2023-05-25 11:08:36+00:00,1127.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,84.22851563,2023-05-23 05:41:00+00:00,1015.0,-1.01,897.4177856,-1.01,sensorOne,19.03000069,1012.364441
-1.01,-1.01,2023-05-24 15:50:56+00:00,4064.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-22 20:08:31+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-06-06 05:52:30+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
0.0,-1.01,2023-05-24 00:20:20+00:00,1151.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
1999.401489,-1.01,2023-05-24 21:13:55+00:00,1154.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,71.66113281,2023-05-23 22:35:05+00:00,1071.0,-1.01,895.1557617,-1.01,sensorOne,24.55999947,1033.163696
168.3673706,-1.01,2023-05-23 11:25:13+00:00,1104.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-23 13:59:51+00:00,2736.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,90.83398438,2023-05-25 08:22:36+00:00,1119.0,-1.01,894.5029907,-1.01,sensorOne,19.02000046,1039.173584
-1.01,79.81542969,2023-06-06 21:03:23+00:00,4095.0,-1.01,894.9181519,-1.01,sensorTwo,21.37000084,1035.35083
-1.01,72.57714844,2023-05-23 01:51:06+00:00,887.0,-1.01,897.2645264,-1.01,sensorTwo,20.20999908,1013.771912
-1.01,-1.01,2023-05-25 06:44:49+00:00,3670.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
1472.881104,-1.01,2023-05-22 22:31:37+00:00,2943.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,65.5078125,2023-05-22 23:51:59+00:00,619.0,-1.01,896.1035767,-1.01,sensorTwo,22.32999992,1024.443115
0.163200006,-1.01,2023-05-24 06:18:19+00:00,1101.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,85.04980469,2023-05-23 08:39:56+00:00,998.0,-1.01,895.4216309,-1.01,sensorOne,18.5,1030.716309
-1.01,80.33789063,2023-05-25 06:30:51+00:00,1498.0,-1.01,894.6540527,-1.01,sensorTwo,19.71999931,1037.782471
0.081600003,-1.01,2023-05-25 06:10:24+00:00,1158.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,76.63476563,2023-05-30 17:53:12+00:00,4095.0,-1.01,895.1638794,-1.01,sensorTwo,28.69000053,1033.088623
-1.01,-1.01,2023-05-25 21:39:55+00:00,3970.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
1324.219971,-1.01,2023-06-05 19:44:34+00:00,1280.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,58.21484375,2023-05-22 04:52:57+00:00,2651.0,-1.01,879.4019775,-1.01,sensorOne,25.80999947,1179.212158
-1.01,-1.01,2023-05-30 14:07:18+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-05-22 22:07:47+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
90.86579132,-1.01,2023-05-23 23:20:43+00:00,1089.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-05-22 19:09:36+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,86.79003906,2023-05-24 05:40:22+00:00,1207.0,-1.01,896.3106079,-1.01,sensorTwo,20.07999992,1022.539368
0.163200006,-1.01,2023-05-24 07:17:59+00:00,1139.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.489600003,-1.01,2023-06-07 00:34:00+00:00,1264.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.0,-1.01,2023-05-24 16:16:19+00:00,1167.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,60.2421875,2023-05-22 11:59:37+00:00,2699.0,-1.01,878.5628662,-1.01,sensorTwo,24.85000038,1187.050537
-1.01,75.8671875,2023-05-23 16:37:38+00:00,1055.0,-1.01,897.007019,-1.01,sensorOne,27.35000038,1016.138062
-1.01,58.95117188,2023-05-22 22:52:50+00:00,343.0,-1.01,895.3814087,-1.01,sensorTwo,25.18000031,1031.086426
-1.01,-1.01,2023-05-22 08:13:49+00:00,0.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,-1.01,2023-06-06 03:53:16+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
0.163200006,-1.01,2023-06-06 04:40:39+00:00,1242.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-06-07 01:46:33+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,81.68945313,2023-05-25 08:30:02+00:00,1520.0,-1.01,893.8834229,-1.01,sensorTwo,18.14999962,1044.88147
-1.01,-1.01,2023-05-24 08:53:11+00:00,3942.0,-1.01,-1.01,16.0,sensorFour,-1.01,-1.01
-1.01,81.18164063,2023-05-23 05:49:32+00:00,1168.0,-1.01,897.154541,-1.01,sensorTwo,18.25,1014.782349
-1.01,56.44335938,2023-06-06 16:21:51+00:00,0.0,-1.01,897.425293,-1.01,sensorOne,44.02999878,1012.295044
-1.01,-1.01,2023-05-23 23:56:32+00:00,4095.0,-1.01,-1.01,96.0,sensorFour,-1.01,-1.01
-1.01,88.734375,2023-05-24 22:26:19+00:00,1098.0,-1.01,893.5592041,-1.01,sensorOne,23.29999924,1047.869385
-1.01,-1.01,2023-05-23 04:03:20+00:00,3018.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
0.0,-1.01,2023-05-26 04:03:28+00:00,1152.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.326400012,-1.01,2023-05-26 05:03:07+00:00,1125.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
158.5458832,-1.01,2023-05-23 13:24:59+00:00,1107.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
-1.01,-1.01,2023-06-06 17:50:31+00:00,4095.0,-1.01,-1.01,0.0,sensorFour,-1.01,-1.01
-1.01,86.02050781,2023-05-24 00:34:04+00:00,1009.0,-1.01,896.1400146,-1.01,sensorOne,20.70999908,1024.108276
-1.01,90.984375,2023-05-25 12:21:15+00:00,1072.0,-1.01,894.897644,-1.01,sensorOne,18.67000008,1035.539795
504.3613281,-1.01,2023-05-24 20:14:25+00:00,1135.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
0.326400012,-1.01,2023-06-07 02:33:19+00:00,1264.0,-1.01,-1.01,-1.01,sensorThree,-1.01,-1.01
